borough,n_test,model,WMAPE,RMSE,MAE
Newham,465,GATv2,0.6411,444.952,245.788
Redbridge,539,HistAvg,1.1018,465.014,271.086
Redbridge,539,MLP,0.6657,344.272,163.785
Redbridge,539,GATv2,0.6956,354.888,171.144
Richmond upon Thames,484,HistAvg,1.3166,353.755,244.414
Richmond upon Thames,484,MLP,0.6868,257.891,127.504
Richmond upon Thames,484,GATv2,0.7338,290.939,136.224
Southwark,583,HistAvg,0.8601,854.25,414.185
Southwark,583,MLP,0.5819,671.016,280.205
Southwark,583,GATv2,0.6874,759.526,331.001
Sutton,421,HistAvg,1.4868,309.593,241.96
Sutton,421,MLP,0.6417,220.471,104.435
Sutton,421,GATv2,0.7624,268.388,124.069
Tower Hamlets,381,HistAvg,0.9492,393.105,269.85
Tower Hamlets,381,MLP,0.5862,297.25,166.658
Tower Hamlets,381,GATv2,0.7043,370.877,200.226
Waltham Forest,492,HistAvg,0.8879,510.268,280.825
Waltham Forest,492,MLP,0.6797,470.824,214.988
Waltham Forest,492,GATv2,0.7107,496.542,224.801
Wandsworth,481,HistAvg,0.8146,681.466,346.179
Wandsworth,481,MLP,0.6304,563.556,267.89
Wandsworth,481,GATv2,0.6822,615.546,289.945
Westminster,419,HistAvg,0.763,912.576,497.587
Westminster,419,MLP,0.5453,670.494,355.606
Westminster,419,GATv2,0.7046,870.962,459.485
Barking and Dagenham,364,MLR-tuned,0.7054,535.267,207.721
Barking and Dagenham,364,RF-tuned,0.6912,517.162,203.544
Barking and Dagenham,364,XGBoost-tuned,0.6769,506.091,199.334
Barnet,993,MLR-tuned,0.6926,347.257,148.126
Barnet,993,RF-tuned,0.6503,302.263,139.086
Barnet,993,XGBoost-tuned,0.6589,312.004,140.926
Bexley,672,MLR-tuned,0.6925,306.233,104.778
Bexley,672,RF-tuned,0.6864,317.621,103.852
Bexley,672,XGBoost-tuned,0.6884,321.435,104.167
Brent,575,MLR-tuned,0.631,476.287,239.918
Brent,575,RF-tuned,0.6321,474.099,240.337
Brent,575,XGBoost-tuned,0.6475,485.18,246.203
Bromley,1179,MLR-tuned,0.6632,169.043,67.449
Bromley,1179,RF-tuned,0.6509,177.691,66.195
Bromley,1179,XGBoost-tuned,0.656,178.587,66.708
Camden,424,MLR-tuned,0.5211,445.983,210.428
Camden,424,RF-tuned,0.5159,432.619,208.326
Camden,424,XGBoost-tuned,0.5331,438.407,215.284
City of London,101,MLR-tuned,0.5652,708.095,368.305
City of London,101,RF-tuned,0.5541,634.631,361.082
City of London,101,XGBoost-tuned,0.6149,759.905,400.719
Croydon,1019,MLR-tuned,0.6757,274.261,111.256
Croydon,1019,RF-tuned,0.6666,271.063,109.755
Croydon,1019,XGBoost-tuned,0.6705,276.72,110.403
Ealing,683,MLR-tuned,0.651,472.092,214.928
Ealing,683,RF-tuned,0.6541,486.808,215.966
Ealing,683,XGBoost-tuned,0.6605,485.35,218.062
Enfield,707,MLR-tuned,0.6777,364.222,163.555
Enfield,707,RF-tuned,0.6931,383.855,167.292
Enfield,707,XGBoost-tuned,0.7137,400.697,172.26
Greenwich,659,MLR-tuned,0.6643,515.732,189.584
Greenwich,659,RF-tuned,0.6363,516.975,181.607
Greenwich,659,XGBoost-tuned,0.6674,543.041,190.465
Hackney,442,MLR-tuned,0.4991,366.153,196.652
Hackney,442,RF-tuned,0.5202,374.281,204.961
Hackney,442,XGBoost-tuned,0.4971,358.592,195.833
Hammersmith and Fulham,276,MLR-tuned,0.696,659.611,329.977
Hammersmith and Fulham,276,RF-tuned,0.6791,666.59,321.973
Hammersmith and Fulham,276,XGBoost-tuned,0.6928,691.632,328.502
Haringey,461,MLR-tuned,0.6566,626.953,297.633
Haringey,461,RF-tuned,0.6466,663.893,293.07
Haringey,461,XGBoost-tuned,0.6825,700.173,309.364
Harrow,432,MLR-tuned,0.6334,296.304,149.048
Harrow,432,RF-tuned,0.6183,287.697,145.497
Harrow,432,XGBoost-tuned,0.6261,302.808,147.335
Havering,691,MLR-tuned,0.711,355.386,119.125
Havering,691,RF-tuned,0.7253,360.628,121.51
Havering,691,XGBoost-tuned,0.7934,352.218,132.935
Hillingdon,706,MLR-tuned,0.7125,486.965,169.76
Hillingdon,706,RF-tuned,0.7508,548.689,178.866
Hillingdon,706,XGBoost-tuned,0.7491,526.83,178.466
Hounslow,651,MLR-tuned,0.6383,361.648,159.384
Hounslow,651,RF-tuned,0.6323,349.351,157.887
Hounslow,651,XGBoost-tuned,0.6624,372.077,165.405
Islington,349,MLR-tuned,0.5885,621.734,305.718
Islington,349,RF-tuned,0.5803,603.165,301.47
Islington,349,XGBoost-tuned,0.5753,600.387,298.872
Kensington and Chelsea,260,MLR-tuned,0.5969,424.399,258.756
Kensington and Chelsea,260,RF-tuned,0.5509,406.273,238.828
Kensington and Chelsea,260,XGBoost-tuned,0.5685,414.399,246.474
Kingston upon Thames,391,MLR-tuned,0.7109,495.321,165.637
Kingston upon Thames,391,RF-tuned,0.6856,493.088,159.746
Kingston upon Thames,391,XGBoost-tuned,0.6944,495.06,161.799
Lambeth,577,MLR-tuned,0.6426,834.551,319.588
Lambeth,577,RF-tuned,0.616,803.032,306.369
Lambeth,577,XGBoost-tuned,0.6323,837.572,314.501
Lewisham,609,MLR-tuned,0.5985,401.489,176.222
Lewisham,609,RF-tuned,0.5939,410.029,174.892
Lewisham,609,XGBoost-tuned,0.6221,442.595,183.2
Merton,457,MLR-tuned,0.6652,423.155,172.378
Merton,457,RF-tuned,0.6542,427.165,169.516
Merton,457,XGBoost-tuned,0.6614,438.997,171.392
Newham,465,MLR-tuned,0.5698,375.943,218.444
Newham,465,RF-tuned,0.6057,409.99,232.207
Newham,465,XGBoost-tuned,0.6297,442.348,241.417
Redbridge,539,MLR-tuned,0.681,361.368,167.555
Redbridge,539,RF-tuned,0.6744,350.547,165.923
Redbridge,539,XGBoost-tuned,0.6902,380.28,169.818
Richmond upon Thames,484,MLR-tuned,0.6476,268.716,120.213
Richmond upon Thames,484,RF-tuned,0.6577,262.497,122.092
Richmond upon Thames,484,XGBoost-tuned,0.677,281.955,125.667
Southwark,583,MLR-tuned,0.5809,644.987,279.749
Southwark,583,RF-tuned,0.5812,669.001,279.857
Southwark,583,XGBoost-tuned,0.6019,707.301,289.848
Sutton,421,MLR-tuned,0.6472,227.372,105.323
Sutton,421,RF-tuned,0.6662,236.263,108.415
Sutton,421,XGBoost-tuned,0.6832,245.315,111.189
Tower Hamlets,381,MLR-tuned,0.5746,302.488,163.341
Tower Hamlets,381,RF-tuned,0.5942,304.982,168.926
Tower Hamlets,381,XGBoost-tuned,0.6127,324.275,174.19
Waltham Forest,492,MLR-tuned,0.717,501.068,226.794
Waltham Forest,492,RF-tuned,0.6621,464.088,209.418
Waltham Forest,492,XGBoost-tuned,0.6749,475.786,213.474
Wandsworth,481,MLR-tuned,0.6341,569.871,269.494
Wandsworth,481,RF-tuned,0.6288,568.796,267.252
Wandsworth,481,XGBoost-tuned,0.6503,604.043,276.388
Westminster,419,MLR-tuned,0.5821,706.393,379.608
Westminster,419,RF-tuned,0.5642,671.378,367.926
Westminster,419,XGBoost-tuned,0.5748,719.796,374.881
