borough,n_test,model,WMAPE,RMSE,MAE
Havering,691,HistAvg,1.6017,456.404,268.356
Havering,691,MLR,0.712,354.724,119.289
Havering,691,RF,0.7215,366.109,120.889
Havering,691,XGBoost,0.879,372.771,147.268
Havering,691,MLP,0.7109,349.975,119.108
Havering,691,GATv2,0.8245,401.453,138.134
Hillingdon,706,HistAvg,1.3003,592.939,309.8
Hillingdon,706,MLR,0.7117,485.526,169.552
Hillingdon,706,RF,0.7647,559.197,182.194
Hillingdon,706,XGBoost,0.7618,527.187,181.497
Hillingdon,706,MLP,0.7306,498.272,174.051
Hillingdon,706,GATv2,0.8261,591.874,196.816
Hounslow,651,HistAvg,1.054,427.703,263.162
Hounslow,651,MLR,0.6382,361.817,159.345
Hounslow,651,RF,0.6539,370.987,163.263
Hounslow,651,XGBoost,0.6377,350.568,159.231
Hounslow,651,MLP,0.6131,336.284,153.082
Hounslow,651,GATv2,0.6697,367.912,167.204
Islington,349,HistAvg,0.7866,736.434,408.65
Islington,349,MLR,0.5887,621.572,305.82
Islington,349,RF,0.5871,626.78,305.001
Islington,349,XGBoost,0.5884,595.045,305.683
Islington,349,MLP,0.5868,605.788,304.859
Islington,349,GATv2,0.677,652.178,351.725
Kensington and Chelsea,260,HistAvg,0.7473,516.034,323.957
Kensington and Chelsea,260,MLR,0.5986,425.149,259.509
Kensington and Chelsea,260,RF,0.5484,406.399,237.759
Kensington and Chelsea,260,XGBoost,0.5507,401.197,238.747
Kensington and Chelsea,260,MLP,0.5809,402.377,251.845
Kensington and Chelsea,260,GATv2,0.5949,428.61,257.888
Kingston upon Thames,391,HistAvg,1.2094,569.502,281.785
Kingston upon Thames,391,MLR,0.7114,495.003,165.752
Kingston upon Thames,391,RF,0.7084,518.368,165.062
Kingston upon Thames,391,XGBoost,0.6785,490.933,158.096
Kingston upon Thames,391,MLP,0.6904,483.804,160.86
Kingston upon Thames,391,GATv2,0.8366,574.633,194.94
Lambeth,577,HistAvg,0.8618,942.451,428.607
Lambeth,577,MLR,0.6441,835.301,320.379
Lambeth,577,RF,0.6296,828.417,313.152
Lambeth,577,XGBoost,0.6209,805.317,308.834
Lambeth,577,MLP,0.6064,803.314,301.604
Lambeth,577,GATv2,0.7656,925.762,380.77
Lewisham,609,HistAvg,0.9859,512.677,290.318
Lewisham,609,MLR,0.5984,400.521,176.196
Lewisham,609,RF,0.6069,426.002,178.72
Lewisham,609,XGBoost,0.6227,437.131,183.374
Lewisham,609,MLP,0.6019,396.658,177.229
Lewisham,609,GATv2,0.7248,486.212,213.428
Merton,457,HistAvg,1.0347,493.948,268.128
Merton,457,MLR,0.6653,422.94,172.39
Merton,457,RF,0.6571,438.249,170.263
Merton,457,XGBoost,0.6766,441.689,175.322
Merton,457,MLP,0.6546,419.728,169.62
Merton,457,GATv2,0.7853,503.711,203.503
Newham,465,HistAvg,0.8322,506.085,319.074
Newham,465,MLR,0.5694,375.153,218.299
Newham,465,RF,0.6077,415.179,232.974
Newham,465,XGBoost,0.615,414.898,235.786
Newham,465,MLP,0.576,380.006,220.829
Newham,465,GATv2,0.7011,485.654,268.793
Redbridge,539,HistAvg,1.1018,465.014,271.086
Redbridge,539,MLR,0.682,361.306,167.795
Redbridge,539,RF,0.6852,369.409,168.573
Redbridge,539,XGBoost,0.6522,334.046,160.465
Redbridge,539,MLP,0.664,343.837,163.373
Redbridge,539,GATv2,0.7821,443.739,192.418
Richmond upon Thames,484,HistAvg,1.3166,353.755,244.414
Richmond upon Thames,484,MLR,0.6485,268.456,120.392
Richmond upon Thames,484,RF,0.6594,266.909,122.405
Richmond upon Thames,484,XGBoost,0.6782,271.139,125.892
Richmond upon Thames,484,MLP,0.6762,256.093,125.521
Richmond upon Thames,484,GATv2,0.7406,298.522,137.475
Southwark,583,HistAvg,0.8601,854.25,414.185
Southwark,583,MLR,0.581,644.255,279.801
Southwark,583,RF,0.6161,722.073,296.708
Southwark,583,XGBoost,0.5916,696.828,284.892
Southwark,583,MLP,0.5763,660.949,277.504
Southwark,583,GATv2,0.676,719.661,325.541
Sutton,421,HistAvg,1.4868,309.593,241.96
Sutton,421,MLR,0.6465,226.834,105.205
Sutton,421,RF,0.675,243.169,109.846
Sutton,421,XGBoost,0.6911,248.006,112.475
Sutton,421,MLP,0.6392,219.688,104.022
Sutton,421,GATv2,0.7607,268.284,123.796
Tower Hamlets,381,HistAvg,0.9492,393.105,269.85
Tower Hamlets,381,MLR,0.5742,302.307,163.227
Tower Hamlets,381,RF,0.6036,310.006,171.589
Tower Hamlets,381,XGBoost,0.585,305.412,166.295
Tower Hamlets,381,MLP,0.588,298.992,167.147
Tower Hamlets,381,GATv2,0.7537,366.405,214.255
Waltham Forest,492,HistAvg,0.8879,510.268,280.825
Waltham Forest,492,MLR,0.7183,501.817,227.193
Waltham Forest,492,RF,0.6405,461.445,202.569
Waltham Forest,492,XGBoost,0.6609,477.32,209.031
Waltham Forest,492,MLP,0.6802,470.624,215.145
Waltham Forest,492,GATv2,0.6753,449.997,213.596
Wandsworth,481,HistAvg,0.8146,681.466,346.179
Wandsworth,481,MLR,0.634,569.571,269.459
Wandsworth,481,RF,0.6413,586.685,272.53
Wandsworth,481,XGBoost,0.6379,584.862,271.112
Wandsworth,481,MLP,0.6267,561.552,266.332
Wandsworth,481,GATv2,0.7528,681.222,319.943
Westminster,419,HistAvg,0.763,912.576,497.587
Westminster,419,MLR,0.5828,706.27,380.071
Westminster,419,RF,0.5606,718.197,365.594
Westminster,419,XGBoost,0.5787,701.358,377.379
Westminster,419,MLP,0.5521,675.189,360.082
Westminster,419,GATv2,0.6344,803.737,413.754
